Year,RINGSP
1997,29142
1998,30783
1999,32383
2000,34613
2001,36281
2002,38349
2003,40788
2004,43713
2005,45663
2006,48011
2007,48044
2008,47343
2009,47709
2010,49351
2011,49716
2012,50997
2013,52274
2014,53898
2015,56052
