Year,IANGSP
1997,83772
1998,85629
1999,88697
2000,94792
2001,95934
2002,100221
2003,106651
2004,118023
2005,123353
2006,127961
2007,137598
2008,137741
2009,137069
2010,141697
2011,148843
2012,158246
2013,162814
2014,169661
2015,174030
