NYRGSP,Year
915016,1997
938989,1998
988849,1999
1022817,2000
1056708,2001
1053325,2002
1049993,2003
1078573,2004
1119304,2005
1145537,2006
1148293,2007
1124539,2008
1148407,2009
1188749,2010
1194300,2011
1231862,2012
1232755,2013
1243065,2014
1254859,2015
